"old_url","old_path","old_status","old_type","old_title","old_h1","target_url","target_path","target_status","target_type","confidence","reason","action"
"https://cloverspb.ru/","/","200","homepage","Производство, продажа и доставка хозяйственных товаров и бытовой химии - Clover, Санкт- Петербург","Главная","https://clover-spb.ru/","/","200","homepage","EXACT","Главная старого домена → каноническая главная нового домена","301"
"https://cloverspb.ru/search","/search","200","info","Поиск по сайту","Поиск по сайту","https://clover-spb.ru/catalog","/catalog","200","catalog","HIGH","Публичный поиск каталога заменён текущим каталогом","301"
"https://cloverspb.ru/registraciya","/registraciya","200","info","Регистрация","Авторизация","","","","","NO_MATCH","Публичного SEO-эквивалента нет; /lk запрещён как SEO-цель","410"
"https://cloverspb.ru/magazin/folder/bumazhnaya-produkciya","/magazin/folder/bumazhnaya-produkciya","200","category","Бумажная продукция","Бумажная продукция","https://clover-spb.ru/catalog/%D0%91%D1%83%D0%BC%D0%B0%D0%B6%D0%BD%D0%B0%D1%8F%20%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%86%D0%B8%D1%8F","/catalog/%D0%91%D1%83%D0%BC%D0%B0%D0%B6%D0%BD%D0%B0%D1%8F%20%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%86%D0%B8%D1%8F","200","category","EXACT","Точное нормализованное название категории/подкатегории","301"
"https://cloverspb.ru/magazin/folder/salfetki","/magazin/folder/salfetki","200","category","Салфетки","Салфетки","https://clover-spb.ru/catalog/%D0%91%D1%83%D0%BC%D0%B0%D0%B6%D0%BD%D0%B0%D1%8F%20%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%86%D0%B8%D1%8F/%D0%A1%D0%B0%D0%BB%D1%84%D0%B5%D1%82%D0%BA%D0%B8","/catalog/%D0%91%D1%83%D0%BC%D0%B0%D0%B6%D0%BD%D0%B0%D1%8F%20%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%86%D0%B8%D1%8F/%D0%A1%D0%B0%D0%BB%D1%84%D0%B5%D1%82%D0%BA%D0%B8","200","subcategory","EXACT","Точное нормализованное название категории/подкатегории","301"
"https://cloverspb.ru/magazin/folder/tualetnaya-bumaga","/magazin/folder/tualetnaya-bumaga","200","category","Туалетная бумага","Туалетная бумага","https://clover-spb.ru/catalog/%D0%91%D1%83%D0%BC%D0%B0%D0%B6%D0%BD%D0%B0%D1%8F%20%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%86%D0%B8%D1%8F/%D0%A2%D1%83%D0%B0%D0%BB%D0%B5%D1%82%D0%BD%D0%B0%D1%8F%20%D0%B1%D1%83%D0%BC%D0%B0%D0%B3%D0%B0","/catalog/%D0%91%D1%83%D0%BC%D0%B0%D0%B6%D0%BD%D0%B0%D1%8F%20%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%86%D0%B8%D1%8F/%D0%A2%D1%83%D0%B0%D0%BB%D0%B5%D1%82%D0%BD%D0%B0%D1%8F%20%D0%B1%D1%83%D0%BC%D0%B0%D0%B3%D0%B0","200","subcategory","EXACT","Точное нормализованное название категории/подкатегории","301"
"https://cloverspb.ru/magazin/folder/bumazhnyj-polotenca","/magazin/folder/bumazhnyj-polotenca","200","category","Бумажные полотенца","Бумажные полотенца","https://clover-spb.ru/catalog/%D0%91%D1%83%D0%BC%D0%B0%D0%B6%D0%BD%D0%B0%D1%8F%20%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%86%D0%B8%D1%8F/%D0%91%D1%83%D0%BC%D0%B0%D0%B6%D0%BD%D1%8B%D0%B5%20%D0%BF%D0%BE%D0%BB%D0%BE%D1%82%D0%B5%D0%BD%D1%86%D0%B0","/catalog/%D0%91%D1%83%D0%BC%D0%B0%D0%B6%D0%BD%D0%B0%D1%8F%20%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%86%D0%B8%D1%8F/%D0%91%D1%83%D0%BC%D0%B0%D0%B6%D0%BD%D1%8B%D0%B5%20%D0%BF%D0%BE%D0%BB%D0%BE%D1%82%D0%B5%D0%BD%D1%86%D0%B0","200","subcategory","EXACT","Точное нормализованное название категории/подкатегории","301"
"https://cloverspb.ru/magazin/folder/odnorazovaya-posuda","/magazin/folder/odnorazovaya-posuda","200","category","Одноразовая посуда","Одноразовая посуда","https://clover-spb.ru/catalog/%D0%9E%D0%B4%D0%BD%D0%BE%D1%80%D0%B0%D0%B7%D0%BE%D0%B2%D0%B0%D1%8F%20%D0%BF%D0%BE%D1%81%D1%83%D0%B4%D0%B0","/catalog/%D0%9E%D0%B4%D0%BD%D0%BE%D1%80%D0%B0%D0%B7%D0%BE%D0%B2%D0%B0%D1%8F%20%D0%BF%D0%BE%D1%81%D1%83%D0%B4%D0%B0","200","category","EXACT","Точное нормализованное название категории/подкатегории","301"
"https://cloverspb.ru/magazin/folder/eko-posuda","/magazin/folder/eko-posuda","200","category","ЭКО посуда","ЭКО посуда","https://clover-spb.ru/catalog/%D0%9E%D0%B4%D0%BD%D0%BE%D1%80%D0%B0%D0%B7%D0%BE%D0%B2%D0%B0%D1%8F%20%D0%BF%D0%BE%D1%81%D1%83%D0%B4%D0%B0","/catalog/%D0%9E%D0%B4%D0%BD%D0%BE%D1%80%D0%B0%D0%B7%D0%BE%D0%B2%D0%B0%D1%8F%20%D0%BF%D0%BE%D1%81%D1%83%D0%B4%D0%B0","200","category","HIGH","Семантически эквивалентная текущая категория «Одноразовая посуда»","301"
"https://cloverspb.ru/magazin/folder/kontejnery","/magazin/folder/kontejnery","200","category","Контейнеры","Контейнеры","https://clover-spb.ru/catalog/%D0%9E%D0%B4%D0%BD%D0%BE%D1%80%D0%B0%D0%B7%D0%BE%D0%B2%D0%B0%D1%8F%20%D0%BF%D0%BE%D1%81%D1%83%D0%B4%D0%B0/%D0%9A%D0%BE%D0%BD%D1%82%D0%B5%D0%B9%D0%BD%D0%B5%D1%80%D1%8B","/catalog/%D0%9E%D0%B4%D0%BD%D0%BE%D1%80%D0%B0%D0%B7%D0%BE%D0%B2%D0%B0%D1%8F%20%D0%BF%D0%BE%D1%81%D1%83%D0%B4%D0%B0/%D0%9A%D0%BE%D0%BD%D1%82%D0%B5%D0%B9%D0%BD%D0%B5%D1%80%D1%8B","200","subcategory","EXACT","Точное нормализованное название категории/подкатегории","301"
"https://cloverspb.ru/magazin/folder/lanch-boksy","/magazin/folder/lanch-boksy","200","category","Ланч боксы","Ланч боксы","https://clover-spb.ru/catalog/%D0%9E%D0%B4%D0%BD%D0%BE%D1%80%D0%B0%D0%B7%D0%BE%D0%B2%D0%B0%D1%8F%20%D0%BF%D0%BE%D1%81%D1%83%D0%B4%D0%B0/%D0%9B%D0%B0%D0%BD%D1%87-%D0%B1%D0%BE%D0%BA%D1%81%D1%8B","/catalog/%D0%9E%D0%B4%D0%BD%D0%BE%D1%80%D0%B0%D0%B7%D0%BE%D0%B2%D0%B0%D1%8F%20%D0%BF%D0%BE%D1%81%D1%83%D0%B4%D0%B0/%D0%9B%D0%B0%D0%BD%D1%87-%D0%B1%D0%BE%D0%BA%D1%81%D1%8B","200","subcategory","EXACT","Точное нормализованное название категории/подкатегории","301"
